"siren","siret","code_greffe","nom_greffe","numero_gestion","id_etablissement","status","origin","file_timestamp","date_greffe","libelle_evt","type","siege_pm","rcs_registre","adresse_ligne1","adresse_ligne2","adresse_ligne3","adress_new","adresse_new_clean_reg","possibilite","insee","digit_inpi","list_digit_inpi","len_digit_address_inpi","code_postal","ville","ncc","code_commune","pays","domiciliataire_nom","domiciliataire_siren","count_initial_inpi","domiciliataire_greffe","domiciliataire_complement","siege_domicile_representant","nom_commercial","enseigne","activite_ambulante","activite_saisonniere","activite_non_sedentaire","date_debut_activite","activite","origine_fonds","origine_fonds_info","type_exploitation","csv_source","index","origin_test","count_initial_insee","count_siren_siret","test_address_libelle","test_address_complement","test_join_address","test_date","test_1","test_siege","test_voie","test_numero","count_duplicates_final","count_duplicates_","test"
"811662881","81166288100010","4402","Saint-Nazaire","2015B00410","1","","Initial","2015-06-02 00:00:00.000","2015-06-02 00:00:00.000","Etablissement ouvert","SEP","","","La Petite Ferme, le Patis Cibot","","","LA PETITE FERME  LE PATIS CIBOT  ","PETITE$|FERME$|PATIS$|CIBOT$","","","","","0","44130","Blain","BLAIN","44015","France","","","1","","","","","","non","non","","2015-05-21","prise de participations gestion de participation toutes prestations de services au profit des filiales et participations","Création","","Exploitation directe","4402_S1_20170504_8_ets.csv","8027179","test_1_no_duplication","1","","True","True","True","True","","True","False","False","1","1",""
"811662899","81166289900020","6901","Lyon","2015D01030","1","","Initial","2015-07-24 00:00:00.000","2015-07-24 00:00:00.000","Etablissement ouvert","SIE","","","","23 Chemin de la Buissière",""," 23 CHEMIN DE LA BUISSIERE ","BUISSIERE$"," CHEMIN","CHE","23","","1","69140","Rillieux-la-Pape","RILLIEUX LA PAPE","69286","France","","","2","","","","","","","","","","","","","","6901_S1_20170504_8_ets.csv","8027180","test_1_no_duplication","2","2.0","True","False","False","True","","True","True","True","1","1",""
"811662899","81166289900020","6901","Lyon","2015D01030","2","","Initial","2015-07-24 00:00:00.000","2015-07-24 00:00:00.000","Etablissement ouvert","PRI","","","","23 Chemin de la Buissière",""," 23 CHEMIN DE LA BUISSIERE ","BUISSIERE$"," CHEMIN","CHE","23","","1","69140","Rillieux-la-Pape","RILLIEUX LA PAPE","69286","France","","","2","","","","","","non","non","","2015-05-05","Acquisition de tous biens immobiliers et gestion desdits biens.","Création","","Exploitation directe","6901_S1_20170504_8_ets.csv","8027181","test_1_no_duplication","2","2.0","True","False","False","True","","False","True","True","1","1",""
"811662931","81166293100013","2901","Brest","2015A00303","1","","Initial","2015-06-04 00:00:00.000","2015-06-04 00:00:00.000","Etablissement ouvert","PRI","","","","2 place Scattery",""," 2 PLACE SCATTERY ","SCATTERY$"," PLACE","PL","2","","1","29280","Plouzané","PLOUZANE","29212","FRANCE","","","1","","","","","","non","non","","2015-05-29","Vente tous produits non alimentaires et alimentaires (sans vente d'alcools)","Création","","Exploitation personnelle","2901_S1_20170504_8_ets.csv","8027182","test_1_no_duplication","1","1.0","True","False","False","True","","False","True","True","1","1",""
"811662949","81166294900015","4402","Saint-Nazaire","2015B00408","1","","Initial","2015-05-28 00:00:00.000","2015-05-28 00:00:00.000","Etablissement ouvert","SEP","","","Leveno","route de l'Etang de Sandun","","LEVENO ROUTE DE L ETANG DE SANDUN ","LEVENO$|ETANG$|SANDUN$"," ROUTE","RTE","","","0","44350","Guérande","GUERANDE","44069","France","","","1","","","","","","non","non","","2015-04-01","en France et à l'Etranger directement ou indirectement la réalisation de réseaux informatiques et installations informatiques maintenance vidéo surveillance téléphonie télécommunication sans fil réseaux sans fil conception de site web conception électronique robotique installations électriques domotique","Création","","Exploitation directe","4402_S1_20170504_8_ets.csv","8027183","test_1_no_duplication","1","","True","True","True","True","","True","False","False","1","1",""
"811662972","81166297200017","501","Gap","2015B00171","1","","Initial","2015-06-02 00:00:00.000","2015-06-02 00:00:00.000","Etablissement ouvert","SEP","","","","8 Cours Emile Zola","Immeuble les Jonquilles"," 8 COURS EMILE ZOLA IMMEUBLE LES JONQUILLES","EMILE$|ZOLA$|IMMEUBLE$|JONQUILLES$"," COURS","CRS","8","","1","05000","Gap","GAP","05061","FRANCE","","","1","","","","","","non","non","","2015-04-01","Surveillance humaine ou surveillance par des systèmes électroniques de sécurité ou gardiennage.","Création","","Exploitation directe","0501_S1_20170504_8_ets.csv","8027184","test_1_no_duplication","1","1.0","True","True","True","True","","True","True","True","1","1",""
"811663046","81166304600027","605","Nice","2015B01194","1","","Initial","2016-07-21 00:00:00.000","2016-07-21 00:00:00.000","Etablissement ouvert","SIE","","","56 Route de Grenoble"," C/O AGE","","56 ROUTE DE GRENOBLE  C O AGE ","GRENOBLE$|AGE$"," ROUTE","RTE","56","","1","06200","Nice","NICE","06088","FRANCE","A.G.E","752599225.0","2","Nice"," 56 RTE de Grenoble  06200 NICE","","","","","","","","","","","","0605_S1_20170504_8_ets.csv","8027185","test_1_no_duplication","2","2.0","True","True","True","True","","True","True","True","1","1",""
"811663046","81166304600027","605","Nice","2015B01194","2","","Initial","2016-07-21 00:00:00.000","2016-07-21 00:00:00.000","Etablissement ouvert","PRI","","","56 Route de Grenoble "," C/O AGE ","","56 ROUTE DE GRENOBLE   C O AGE  ","GRENOBLE$|AGE$"," ROUTE","RTE","56","","1","06200","Nice","NICE","06088","FRANCE","","","2","","","","","","non","non","","2015-05-20","Travaux de maçonnerie et menuiserie.","Création","","Exploitation directe","0605_S1_20170504_8_ets.csv","8027186","test_1_no_duplication","2","2.0","True","True","True","True","","False","True","True","1","1",""
"811663061","81166306100018","901","Foix","2015D00089","1","","Initial","2015-05-29 00:00:00.000","2015-05-29 00:00:00.000","Etablissement ouvert","SIE","","","","2 Plaine d'Aubert",""," 2 PLAINE D AUBERT ","AUBERT$"," PLAINE","PLN","2","","1","09200","Moulis","MOULIS","09214","France","","","2","","","","","","","","","","","","","","0901_S1_20170504_8_ets.csv","8027187","test_1_no_duplication","1","2.0","True","False","False","True","","True","False","True","1","1",""
"811663061","81166306100018","901","Foix","2015D00089","2","","Initial","2015-05-29 00:00:00.000","2015-05-29 00:00:00.000","Etablissement ouvert","PRI","","","","2 Plaine d'Aubert",""," 2 PLAINE D AUBERT ","AUBERT$"," PLAINE","PLN","2","","1","09200","Moulis","MOULIS","09214","France","","","2","","","","","","non","non","","2015-05-18","Acquisition, vente, location, gestion de biens immobiliers","Création","","Exploitation directe","0901_S1_20170504_8_ets.csv","8027188","test_1_no_duplication","1","2.0","True","False","False","True","","False","False","True","1","1",""
