"siren","code_greffe","nom_greffe","numero_gestion","id_etablissement","status","origin","file_timestamp","date_greffe","libelle_evt","type","siege_pm","rcs_registre","adresse_ligne1","adresse_ligne2","adresse_ligne3","code_postal","ville","code_commune","pays","domiciliataire_nom","domiciliataire_siren","domiciliataire_greffe","domiciliataire_complement","siege_domicile_representant","nom_commercial","enseigne","activite_ambulante","activite_saisonniere","activite_non_sedentaire","date_debut_activite","activite","origine_fonds","origine_fonds_info","type_exploitation","csv_source"
"848249363","5402","Nancy","2019D00100","1","","NEW","2019-10-31 09:07:17.000","2019-02-12 00:00:00.000","Etablissement ouvert","SEP","","","","5B rue du Général Drouot","","54000","Nancy","54395","FRANCE","","","","","","","","non","non","non","2019-01-31","L'acquisition, en état futur d'achèvement ou achevés, l'apport, la propriété, la mise en valeur, la transformation, la construction, l'aménagement, l'administration, la location et la vente (exceptionnelle) de tous biens et droits immobiliers, ainsi que de tous biens et droits pouvant constituer l'accessoire, l'annexe ou le complément des biens et droits immobiliers en question.","Création","","Exploitation directe","5402_686_20191031_090717_8_ets.csv"
"440122117","605","Nice","2009D00340","2","","Initial","2009-05-26 00:00:00.000","2009-05-26 00:00:00.000","Etablissement ouvert","PRI","","","31 BIS Rue Barla","","","06000","Nice","06088","FRANCE","","","","","","","","non","non","non","2001-11-29","L'acquisition et l'administration de tous biens immobiliers.","Création","","","0605_S1_20170504_8_ets.csv"
"880148424","9201","Nanterre","2019B12664","1","","NEW","2019-12-28 08:56:13.000","2019-12-27 00:00:00.000","Etablissement ouvert","SEP","","","","4 Cours Jules Raimu","","92160","Antony","92002","FRANCE","","","","Chez le gérant","","Compt'Assist","","non","non","non","2019-12-23","Conseil en organisation pour les entreprises, les sociétés et les particuliers; Le conseil et services aux entreprises, aux sociétés et aux particuliers; Gestion administrative.","Création","","Exploitation directe","9201_2039_20191228_085613_8_ets.csv"
"832178032","2202","Saint-Brieuc","2017D00612","1","","NEW","2017-09-27 11:43:44.000","2017-09-26 00:00:00.000","Etablissement ouvert","SEP","","","","Lieu dit Lesmaes","","22160","Callac","22025","FRANCE","","","","","","","","non","non","non","2017-09-19","Holding non animatrice, détention dans des sociétés opérationnelles exerçant directement une activité commerciale, industrielle, artisanale, libérale, agricole ou financière","Création","","Exploitation directe","2202_98_20170927_114344_8_ets.csv"
"833172257","5101","Châlons-en-Champagne","2017B00299","1","","NEW","2017-11-18 11:30:26.000","2017-11-17 00:00:00.000","Etablissement ouvert","SEP","","","32 rue du Camp d'Attila","","","51000","Châlons-en-Champagne","51108","France","","","","","","TCS","","non","non","non","2017-10-20","Activité de menuiserie, de placage, de bardage, la couverture, la charpente, l'isolation et construction de maison à ossature en bois.","Création","","Exploitation directe","5101_130_20171118_113026_8_ets.csv"
"750435935","7702","Melun","2012B00583","1","","Initial","2016-08-04 00:00:00.000","2016-08-04 00:00:00.000","Etablissement ouvert","SIE","","","57 Route de Bray","","","77130","Marolles-sur-Seine","77279","FRANCE","","","","","","","","","","","","","","","","7702_S1_20170504_8_ets.csv"
"395089923","7601","Dieppe","1994B80021","1","","Initial","2016-03-04 00:00:00.000","2016-03-04 00:00:00.000","Etablissement ouvert","SEP","","","","23 rue du Pont de Pierre","","76660","Londinières","76392","FRANCE","","","","","","CLOTURES BERRENGER","","non","non","non","1994-05-06","La fabrication la fourniture et la pose de clôtures sous toutes les formes et en toute matière, la réalisation la fourniture et la pose de tous travaux de serrurerie, location de matériel de chantiers, achat et vente de matériaux,","Achat","CHAT AU PRIX STIPULE DE 320 000 EUROS (FONDS PRECEDEMMENT RECU EN LOCATION GERANCE - récédent propriétaire exploitan - ERRENGER CHRISTIAN HENRI REN","Exploitation directe","7601_S1_20170504_8_ets.csv"
"518744586","3501","Rennes","2009B01920","0","","Initial","2016-01-07 00:00:00.000","2016-01-07 00:00:00.000","Etablissement ouvert","SIE","","","10 Rue la Fayette","","","35760","Saint-Grégoire","35278","FRANCE","","","","","","","","","","","","","","","","3501_S1_20170504_8_ets.csv"
"524693785","203","Soissons","2010D00134","1","","Initial","2010-09-06 00:00:00.000","2010-09-06 00:00:00.000","Etablissement ouvert","SIE","","","","12  Grande Rue","","02400","Bonneil","02098","France","","","","","","","","","","","","","","","","0203_S1_20170504_8_ets.csv"
"829879329","2602","Romans","2019B00652","2","","NEW","2019-05-08 08:53:42.000","2019-05-07 00:00:00.000","Etablissement ouvert","SEC","France","Montpellier","","Les Morands","","26260","Bren","26061","France","","","","","","","","non","non","non","2019-04-19","Production d'électricité.","Création","","Exploitation directe","2602_517_20190508_085342_8_ets.csv"
"325159853","1001","Troyes","1982A00308","1","IGNORE","Initial","1987-12-08 00:00:00.000","1987-12-08 00:00:00.000","Etablissement ouvert","PRI","","","","COURTAVANT","BARBUISE","10400","NOGENT SUR SEINE","10031","FRANCE","","","","","","","","non","non","non","1982-07-07","STATION SERVICE, GARAGE, ACHAT ET VENTE DE VEHICULES D'OCCASION","Achat"," - récédent propriétaire exploitan - ECK MARCE","Exploitation directe","1001_S1_20170504_8_ets.csv"
